A,B,main_number,secondary_number,frequency,Data_Type
4549.162504729282,916628.9868564177,2,2,8.217322235058132,Synthetic Data
24982.913968094086,2450551.0644538696,2,6,8.890890543126629,Synthetic Data
21173.821496951157,7621762.4748758655,5,4,8.919990936854266,Synthetic Data
9843.454594296763,3088936.4724774393,2,4,8.149130745617917,Synthetic Data
25177.638542483714,4801388.039196084,4,8,9.432272928057575,Synthetic Data
4537.871738190676,339944.0437324047,2,2,8.211250039217255,Synthetic Data
12233.879804589076,2286540.7280672607,2,6,8.148854927357696,Synthetic Data
10240.293829781755,2065844.109576473,2,4,8.14654414667248,Synthetic Data
9303.881342619137,1777451.028826151,2,4,8.209465359378001,Synthetic Data
32153.214597792783,1371251.8314169152,2,6,8.812966487162326,Synthetic Data
11976.487480557253,3143604.6652442347,2,4,8.137452341867071,Synthetic Data
3578.2723785692006,4057330.2794442335,4,2,8.22689600885612,Synthetic Data
5409.599758636984,1015767.1635436574,3,2,8.153090566163009,Synthetic Data
30101.21384467458,4857924.217214281,4,8,8.62221566934086,Synthetic Data
28490.839117494776,6087322.718515443,4,8,8.971233169172613,Synthetic Data
7465.039710445078,1539583.8894405118,2,2,8.155344684031562,Synthetic Data
9833.288994689272,3631178.920355815,5,4,8.215387212132018,Synthetic Data
19505.224851494004,6993093.555942143,3,4,8.358026946507392,Synthetic Data
22590.297573094707,10871115.835028796,3,4,9.00334045049304,Synthetic Data
24346.166529189977,1975034.7593091158,2,6,8.894067678550506,Synthetic Data
6785.067994505907,1374626.08781595,3,2,8.185585769740584,Synthetic Data
9859.222527494145,4420359.297981143,4,4,8.526376225236692,Synthetic Data
12442.37100432345,4468572.121787719,5,4,8.14957426050649,Synthetic Data
24040.043106524005,5999722.214307466,2,4,9.036177868770473,Synthetic Data
29088.052223023264,5399896.844710868,4,8,8.95459672901337,Synthetic Data
24766.922042606202,3256420.956272222,2,5,9.448601508681831,Synthetic Data
6587.211240639412,2383896.2292945427,2,3,8.497397388486323,Synthetic Data
9559.814197060497,738113.1754954485,2,2,8.084201029485703,Synthetic Data
26122.94476334929,6794017.330745919,2,4,8.906469042692057,Synthetic Data
21177.731839549855,6494092.597171115,5,4,8.856482083924968,Synthetic Data
21343.1939677556,5643230.779765403,4,8,9.006740792828731,Synthetic Data
7765.186775513885,931389.9902784578,2,2,8.229193945307474,Synthetic Data
10321.004567830549,6950714.432380493,2,3,8.758692308145596,Synthetic Data
23070.22803775976,2399027.5724606407,2,6,8.974672638000676,Synthetic Data
14097.370315859323,3178190.279398875,5,4,8.175470117837726,Synthetic Data
7121.524633347972,541853.9892792655,3,2,8.134835539103275,Synthetic Data
9274.591643988597,2719704.995869252,2,4,8.187250000132241,Synthetic Data
1035.0156788614895,4127330.4340093564,4,2,8.316480145090397,Synthetic Data
10364.868963092364,1664344.5391055155,2,5,8.235881625098951,Synthetic Data
3351.5687075142478,2428164.6875746637,3,4,8.336746920992507,Synthetic Data
5726.1326212846,1037173.758340972,2,2,8.22374044031869,Synthetic Data
1763.6905760312384,526064.5127195208,3,2,8.213565799255944,Synthetic Data
9358.255865114297,2297984.3729695627,2,4,8.168322317755795,Synthetic Data
10943.855835336848,5385162.29707928,5,4,8.124670085936962,Synthetic Data
5260.967482367139,1439415.291973335,3,2,8.053056377125593,Synthetic Data
17669.85632125884,9700650.56897646,2,5,8.3861299228758,Synthetic Data
7090.946969494942,1862480.927826829,2,3,8.182859442067896,Synthetic Data
5026.70544129624,850676.2730332052,2,2,8.325755092137275,Synthetic Data
9834.615309378034,3289921.604630322,5,4,8.070595366560623,Synthetic Data
27242.50567008203,3016903.7507793894,2,5,8.928955949059945,Synthetic Data
16023.08376457372,8463121.078232452,3,5,8.789732807951772,Synthetic Data
4306.790886829128,2116296.2913690303,2,3,8.1787573660755,Synthetic Data
23158.523937459588,3287349.928061197,2,6,8.88723310402225,Synthetic Data
17545.02650957961,1679938.4841890053,3,6,8.779659116152075,Synthetic Data
21735.55677111469,9271973.248103382,2,5,9.554963253658169,Synthetic Data
1984.1621917590037,820128.0357909612,3,2,8.226588374942864,Synthetic Data
10721.062981963454,1524172.6095906496,2,3,8.62789257712838,Synthetic Data
17840.53462301105,2273249.4826085335,3,6,8.808318823985434,Synthetic Data
7856.30788478099,2380106.7814789615,3,4,8.265077577798822,Synthetic Data
22751.923174462336,2449831.115551638,3,6,9.304032893043876,Synthetic Data
12702.63847009561,3284556.714002426,2,5,8.076406197868891,Synthetic Data
12994.42214682578,2504202.1748390477,2,6,8.15643715954229,Synthetic Data
11063.661757850707,5492610.502703616,5,4,8.139303507204549,Synthetic Data
28812.056706541236,5802217.925414673,2,6,8.758132945162092,Synthetic Data
23768.84771749251,8488611.77727788,2,5,8.245156095507998,Synthetic Data
8023.161391859532,556386.7054238671,3,2,8.225065006050462,Synthetic Data
26060.89550139112,6041967.457190973,2,6,9.29471326150987,Synthetic Data
22017.3355736817,2683112.841152934,2,4,9.327681406969804,Synthetic Data
27170.52710176967,7975426.104707937,2,6,8.805914124116606,Synthetic Data
20194.05614427683,7859400.432023868,2,3,8.784443767759674,Synthetic Data
20912.008981364375,3185466.6971958457,2,5,8.922112464554937,Synthetic Data
7666.617537593493,906027.3209706221,2,2,8.198646403166086,Synthetic Data
35342.55176575453,5618122.756546603,4,8,8.715221137800569,Synthetic Data
27026.50911796528,2438559.350076358,2,6,9.177310545519706,Synthetic Data
11202.555139089756,4588807.933083078,5,4,8.097145229819187,Synthetic Data
28465.459955140755,5719385.898638964,2,6,8.860550591227359,Synthetic Data
12185.642585397189,4666932.9511517305,5,4,8.126834616662801,Synthetic Data
13722.345650831809,4977900.043195006,5,4,8.063303548572216,Synthetic Data
6514.828385626043,9168881.901720187,3,3,8.325927692729822,Synthetic Data
37658.70162223872,491867.549867874,4,8,8.353850273474407,Synthetic Data
21620.82829226302,3383745.6474266346,3,6,9.324106177440822,Synthetic Data
27888.06312165647,7769432.616311168,2,6,9.099664417024925,Synthetic Data
24626.73644971413,10819013.77657384,2,5,9.72046158331703,Synthetic Data
23906.36276412163,12335808.613425024,2,5,9.2027761631567,Synthetic Data
10868.042412260316,4061743.8848234974,5,4,8.142908748730727,Synthetic Data
10566.952447048225,3245541.3677417887,2,5,8.110972581145367,Synthetic Data
25662.84166412266,7341538.968709219,2,3,8.865946720516703,Synthetic Data
11221.929417639312,3010991.2991560125,2,4,8.082101959945724,Synthetic Data
8392.011685993812,6188740.158072549,2,3,8.156493834724897,Synthetic Data
20947.272585792656,9360576.72885887,2,4,9.34739226046248,Synthetic Data
3201.0037890610056,2590143.0986128896,3,2,8.231238332642832,Synthetic Data
10288.251359586251,6904670.100033934,5,4,8.235860928630581,Synthetic Data
8837.327931657932,8305978.883559957,2,5,8.180327620647901,Synthetic Data
28193.01095998735,1991949.5869484926,4,8,8.368541887661554,Synthetic Data
6783.925415421581,1108416.3865066876,3,2,8.10036019390695,Synthetic Data
9920.983595168198,2574356.1890356964,2,4,8.150837008883919,Synthetic Data
6795.3847486949535,1194914.8372604318,3,6,8.755711436427141,Synthetic Data
31400.86193386652,4988682.947395592,2,6,8.909165007859448,Synthetic Data
21158.36533191197,3043737.12605064,2,4,9.576442721357608,Synthetic Data
6879.310899880001,3866193.5065729683,4,2,8.311994306608984,Synthetic Data
23157.03356711038,5130576.589907018,3,6,8.731810526202194,Synthetic Data
10890.962093625807,3813405.3357207156,5,4,8.105973738943726,Synthetic Data
29934.402283049007,6804981.094295815,2,6,8.747237055912148,Synthetic Data
6874.2934223565535,2584128.70526045,2,3,8.766803246691095,Synthetic Data
10352.322942544713,1879792.191693996,2,5,8.122662174014595,Synthetic Data
10454.383130243621,2122573.999685336,2,4,8.111413785663395,Synthetic Data
23986.33979234062,8299920.702268636,2,6,8.950220510606513,Synthetic Data
15118.179650398259,1460129.588486174,3,6,8.647995091786488,Synthetic Data
21376.234967715878,2987195.3604756016,3,6,9.443421331710352,Synthetic Data
21615.354429508694,3595348.5952286185,2,5,8.774092383654017,Synthetic Data
34057.11836285553,6491051.880394883,4,8,8.794546994044644,Synthetic Data
20080.60896121984,9039124.118793406,2,5,8.80207857391963,Synthetic Data
5326.907627046377,619651.7910050966,3,2,8.133079566803152,Synthetic Data
3152.0882436550683,6493005.942764789,4,2,8.449851294610578,Synthetic Data
10965.395149562504,2861387.4694841066,2,4,8.137500812245795,Synthetic Data
26375.017524164592,9361484.06015826,2,3,9.463820986982993,Synthetic Data
19294.112897854848,2918231.1196051887,2,3,8.794814486849699,Synthetic Data
9931.060825427567,2513001.799504051,2,4,8.13924606327242,Synthetic Data
7870.733479835735,4746901.004888228,4,2,8.248147162108761,Synthetic Data
5596.712252565043,717115.8216448138,2,4,8.177435148015213,Synthetic Data
24228.36575846865,6751523.349359245,2,5,8.191461471245637,Synthetic Data
27456.770741395158,9411122.061706506,2,5,9.134886689074177,Synthetic Data
9174.035925079785,1449801.713882704,3,2,8.523358177408339,Synthetic Data
29892.483343094565,5577046.783770512,2,6,8.998676241419219,Synthetic Data
26273.652291693284,3841416.0756662544,4,8,9.227186944266546,Synthetic Data
11186.229482874493,2648347.781418855,2,4,8.114099376052,Synthetic Data
35228.19608102892,9100329.228860112,4,8,8.641311556361062,Synthetic Data
18665.131956510028,6095315.000444534,3,5,9.110069416771479,Synthetic Data
26660.749991400604,2469220.8751751278,2,6,8.839543060057903,Synthetic Data
22070.39599675375,8890875.591586651,3,4,9.475954989333642,Synthetic Data
9401.015413187442,5735410.423893329,5,4,8.151669049368836,Synthetic Data
9890.952598149877,3124307.4260042235,2,4,9.259820591535812,Synthetic Data
21176.47563971176,2671762.6904552267,2,3,8.548792734122475,Synthetic Data
7869.283250437005,3045314.7162589976,2,5,8.142543236156277,Synthetic Data
22235.49486449292,8376196.312108479,2,5,9.429997942674927,Synthetic Data
21595.468197227972,8920045.534223875,2,5,9.56427785099125,Synthetic Data
21480.974695042445,2283850.5361674153,3,4,9.071033062069453,Synthetic Data
24904.099345327963,8643996.51067264,2,5,9.155649845906478,Synthetic Data
8518.504462867348,2469376.2143980386,2,4,8.128578577509263,Synthetic Data
12346.638772323171,2222487.721607627,2,4,8.134759356643919,Synthetic Data
13289.629287887896,4529730.196285395,5,4,8.098289087888466,Synthetic Data
6479.011052355831,4241347.646591363,4,2,8.37881881980971,Synthetic Data
11243.814090707492,2984321.2307349877,2,5,8.150651276526158,Synthetic Data
11874.990223498737,5000871.1530167395,5,4,8.173743599670605,Synthetic Data
20561.194567047663,2822273.5017031496,2,6,8.905018906555268,Synthetic Data
8716.161884967636,2267641.443630369,4,2,8.207879235131719,Synthetic Data
30408.231889122573,4144146.6066725003,4,8,8.661628423489324,Synthetic Data
8190.527222169976,2003332.820558698,3,4,8.17852462620144,Synthetic Data
33928.60687620439,9463109.110608794,4,8,8.899487284134787,Synthetic Data
9984.086947573373,2944270.683118025,2,5,8.055985828052993,Synthetic Data
23408.02827082411,3971426.388400956,3,6,8.871030982075144,Synthetic Data
8773.134022982013,2352395.37921068,2,5,8.145321142439252,Synthetic Data
8914.70647229748,2789344.3308510864,2,4,8.123993487429841,Synthetic Data
22697.689550470066,12077526.28984595,2,4,8.977154857112437,Synthetic Data
14277.251745522593,2184191.099595394,2,6,8.154540547299412,Synthetic Data
5639.382496588591,1782069.6558125054,2,3,8.008582712740854,Synthetic Data
6659.088609094531,653321.8036487952,3,3,8.158319297447651,Synthetic Data
31369.83940590056,4629093.233203696,4,8,8.989874231296758,Synthetic Data
10232.449414408378,2534021.152858994,2,4,8.071049303879047,Synthetic Data
27308.979391246743,5732031.225599087,4,8,8.922762146727422,Synthetic Data
10263.564157729546,1586233.4620775532,2,4,8.164331395830905,Synthetic Data
9066.194021224854,3806615.0140606044,3,4,8.495238330112857,Synthetic Data
21303.127782361476,8919053.235444942,2,4,9.397192185702535,Synthetic Data
5433.902424306441,1169419.2561250909,2,2,8.321652847456066,Synthetic Data
6425.53031811783,2233831.040802655,2,3,8.167310336296918,Synthetic Data
20453.228396989616,8658812.86664536,2,5,9.521267311087582,Synthetic Data
9259.729890519367,2009274.6048544864,2,4,8.195540951878895,Synthetic Data
5208.083247905398,1331807.9996060084,2,2,8.310510575635613,Synthetic Data
5517.547417287492,695396.3056621375,3,2,8.180511701121636,Synthetic Data
26910.93256402202,10529750.792677455,2,5,9.165125232648293,Synthetic Data
3216.217097108255,2354118.8775164215,2,2,8.00959289495487,Synthetic Data
9621.281127532913,2441349.3180647413,2,4,8.148749410818045,Synthetic Data
21257.20456522223,2948393.3105491586,2,5,8.954569445837702,Synthetic Data
9197.829044916012,7537742.534458725,2,3,8.730475786475193,Synthetic Data
14842.074221701594,4848991.252289252,5,4,8.140750108316242,Synthetic Data
26225.439173666135,6252700.509356992,2,6,9.069984762737999,Synthetic Data
6723.954541425977,2517422.445706494,2,3,8.591554020800844,Synthetic Data
8896.494748738081,1808595.303611014,2,4,8.095427072575992,Synthetic Data
24333.252907015056,6029302.7888419125,2,4,8.266122945245664,Synthetic Data
11110.135756178172,4563216.638610978,2,3,8.092025374489,Synthetic Data
10928.54131247262,4518342.033136818,4,8,8.303292107845843,Synthetic Data
24784.108707042895,2764958.78774937,2,6,8.631181106956571,Synthetic Data
10227.298514925664,7468989.201792055,2,5,8.16754163509754,Synthetic Data
24565.773744535563,9594131.391704326,2,5,9.699665883196632,Synthetic Data
5402.454580084965,614137.6027085432,2,2,8.32207609686613,Synthetic Data
10471.184349217023,2262514.307323184,2,4,8.831079777624032,Synthetic Data
20814.22798425701,10235213.45248852,3,5,9.24423682804007,Synthetic Data
